,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-196854,Metabolism of vitamins and cofactors,CHEBI:16027,['O95396'],,0.10203331210456423
1,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.09060283653907554
2,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['Q11201', 'Q11206']",,0.052612094849543475
3,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,['P51654'],,0.052612094849543475
4,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,['P51654'],,0.052612094849543475
5,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1']",,0.08785075351839636
6,R-HSA-429914,Deadenylation-dependent mRNA decay,CHEBI:16027,"['Q9NQT4', 'P11940']",,0.18192511707294298
7,R-HSA-429914,Deadenylation-dependent mRNA decay,CHEBI:17345,['Q9NQT4'],,0.18192511707294298
8,R-HSA-597592,Post-translational protein modification,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.10070305748915713
9,R-HSA-597592,Post-translational protein modification,CHEBI:4208,['Q9BV94'],,0.10070305748915713
10,R-HSA-597592,Post-translational protein modification,CHEBI:16680,['Q8IXQ9'],,0.10070305748915713
11,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"['Q86TH1', 'Q8TE58', 'Q10472']",,0.10070305748915713
12,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,['Q9BTM1'],,0.01475954611853511
13,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.08785075351839636
14,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P51654'],,0.09060283653907554
15,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P51654'],,0.09060283653907554
16,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,['O00268'],,0.07570152009988217
17,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"['O00422', 'Q9Y2W6', 'Q9UBC3', 'Q9BTM1']",,0.07570152009988217
18,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"['Q11201', 'Q969X2', 'Q11206']",,0.10203331210456423
19,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"['O15488', 'P51654']",,0.10203331210456423
20,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16264,['P51654'],,0.10203331210456423
21,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16027,['O00268'],,0.15529727378076807
22,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16680,['Q9BTM1'],,0.15529727378076807
23,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.01475954611853511
24,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.052612094849543475
25,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.09060283653907554
26,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.11878475168073833
27,R-HSA-8978868,Fatty acid metabolism,CHEBI:16027,['Q5FVE4'],,0.16682736095581222
28,R-HSA-8978868,Fatty acid metabolism,CHEBI:28125,['O14734'],,0.16682736095581222
29,R-HSA-392499,Metabolism of proteins,CHEBI:16027,['Q9HA77'],,0.15529727378076807
30,R-HSA-392499,Metabolism of proteins,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.15529727378076807
31,R-HSA-392499,Metabolism of proteins,CHEBI:4208,['Q9BV94'],,0.15529727378076807
32,R-HSA-392499,Metabolism of proteins,CHEBI:16680,['Q8IXQ9'],,0.15529727378076807
33,R-HSA-392499,Metabolism of proteins,CHEBI:17659,"['Q86TH1', 'Q8TE58', 'Q10472']",,0.15529727378076807
34,R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,CHEBI:16027,['O95396'],,0.049597106458887485
35,R-HSA-168256,Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'P05161', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.0
36,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.09060283653907554
37,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:4208,['Q9BV94'],,0.09060283653907554
38,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"['Q96S44', 'Q9NQT4', 'P11940', 'Q14657']",,0.16382713443015437
39,R-HSA-8953854,Metabolism of RNA,CHEBI:17345,['Q9NQT4'],,0.16382713443015437
40,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.0
41,R-HSA-1640170,Cell Cycle,CHEBI:16680,['Q9BTM1'],,0.17383661733493896
