,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,['P23526'],,0.026140225858703275
1,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,['P51654'],,0.026140225858703275
2,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1']",,0.09932690556199351
3,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"['Q11206', 'Q11201', 'Q969X2']",,0.08877209135474336
4,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"['P51654', 'O15488']",,0.08877209135474336
5,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16264,['P51654'],,0.08877209135474336
6,R-HSA-8978868,Fatty acid metabolism,CHEBI:16027,['Q5FVE4'],,0.07218852998086812
7,R-HSA-8978868,Fatty acid metabolism,CHEBI:28125,['O14734'],,0.07218852998086812
8,R-HSA-9678108,SARS-CoV-1 Infection,CHEBI:16556,"['Q11206', 'Q11201']",,0.11163742430673955
9,R-HSA-9678108,SARS-CoV-1 Infection,CHEBI:17659,['Q10472'],,0.11163742430673955
10,R-HSA-5173105,O-linked glycosylation,CHEBI:16556,"['Q11206', 'Q11201']",,0.1759382823395951
11,R-HSA-5173105,O-linked glycosylation,CHEBI:17659,"['Q8TE58', 'Q86TH1', 'Q10472']",,0.1759382823395951
12,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P51654'],,0.07899535747058939
13,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P51654'],,0.07899535747058939
14,R-HSA-392499,Metabolism of proteins,CHEBI:16027,['Q9HA77'],,0.17285854099878284
15,R-HSA-392499,Metabolism of proteins,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.17285854099878284
16,R-HSA-392499,Metabolism of proteins,CHEBI:4208,['Q9BV94'],,0.17285854099878284
17,R-HSA-392499,Metabolism of proteins,CHEBI:16680,['Q8IXQ9'],,0.17285854099878284
18,R-HSA-392499,Metabolism of proteins,CHEBI:17659,"['Q8TE58', 'Q86TH1', 'Q10472']",,0.17285854099878284
19,R-HSA-597592,Post-translational protein modification,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.15794256122316833
20,R-HSA-597592,Post-translational protein modification,CHEBI:4208,['Q9BV94'],,0.15794256122316833
21,R-HSA-597592,Post-translational protein modification,CHEBI:16680,['Q8IXQ9'],,0.15794256122316833
22,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"['Q8TE58', 'Q86TH1', 'Q10472']",,0.15794256122316833
23,R-HSA-196854,Metabolism of vitamins and cofactors,CHEBI:16027,['O95396'],,0.17003321143521902
24,R-HSA-1640170,Cell Cycle,CHEBI:16680,['Q9BTM1'],,0.15794256122316833
25,R-HSA-211859,Biological oxidations,CHEBI:34310,['Q9NYL5'],,0.11200546297599369
26,R-HSA-211859,Biological oxidations,CHEBI:16680,['P23526'],,0.11200546297599369
27,R-HSA-211859,Biological oxidations,CHEBI:16335,['P23526'],,0.11200546297599369
28,R-HSA-3781865,Diseases of glycosylation,CHEBI:16264,['P51654'],,0.07899535747058939
29,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,['Q9BTM1'],,0.03606865955785263
30,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16027,['O00268'],,0.12377632429881358
31,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16680,['Q9BTM1'],,0.12377632429881358
32,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"['P11940', 'Q96S44', 'Q9NQT4', 'Q14657']",,0.15794256122316833
33,R-HSA-8953854,Metabolism of RNA,CHEBI:17345,['Q9NQT4'],,0.15794256122316833
34,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['Q11206', 'Q11201']",,0.026140225858703275
35,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,['P51654'],,0.026140225858703275
36,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,['P51654'],,0.026140225858703275
37,R-HSA-4085001,Sialic acid metabolism,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.15441625021231378
38,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q8WXK4', 'Q6ZMZ0', 'Q8WVD3', 'Q9Y508', 'Q9Y252', 'Q8N461', 'Q13042']",,0.06458093274241015
39,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P50150', 'P63092', 'P09683', 'Q5JWF2']",,0.11163742430673955
40,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,['O00268'],,0.07218852998086812
41,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1', 'Q9Y2W6']",,0.07218852998086812
42,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.11200546297599369
43,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"['Q8WXK4', 'Q6ZMZ0', 'Q8WVD3', 'Q9Y508', 'Q9Y252', 'Q8N461', 'Q13042']",,0.0
44,R-HSA-168256,Immune System,CHEBI:16027,"['Q8WXK4', 'Q6ZMZ0', 'Q8WVD3', 'Q9Y508', 'Q9Y252', 'P05161', 'Q8N461', 'Q13042']",,0.11163742430673955
45,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P50150', 'P63092', 'P09683', 'Q5JWF2']",,0.11163742430673955
46,R-HSA-1614635,Sulfur amino acid metabolism,CHEBI:16680,['P23526'],,0.11693246704897965
47,R-HSA-1614635,Sulfur amino acid metabolism,CHEBI:16335,['P23526'],,0.11693246704897965
48,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.06458093274241015
49,R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,CHEBI:16027,['O95396'],,0.11163742430673955
50,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.11200546297599369
51,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:4208,['Q9BV94'],,0.11200546297599369
52,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P50150', 'P63092', 'P09683', 'Q5JWF2']",,0.031199609981470977
