,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,['P23526'],,0.01896356503829364
1,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,['P51654'],,0.01896356503829364
2,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1']",,0.08305856622116323
3,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"['Q11206', 'Q11201', 'Q969X2']",,0.10223042470135212
4,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"['P51654', 'O15488']",,0.10223042470135212
5,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16264,['P51654'],,0.10223042470135212
6,R-HSA-8978868,Fatty acid metabolism,CHEBI:16027,['Q5FVE4'],,0.07770453814342371
7,R-HSA-8978868,Fatty acid metabolism,CHEBI:28125,['O14734'],,0.07770453814342371
8,R-HSA-9678108,SARS-CoV-1 Infection,CHEBI:16556,"['Q11206', 'Q11201']",,0.18160265513726453
9,R-HSA-9678108,SARS-CoV-1 Infection,CHEBI:17659,['Q10472'],,0.18160265513726453
10,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P51654'],,0.07393261368353625
11,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P51654'],,0.07393261368353625
12,R-HSA-9694516,SARS-CoV-2 Infection,CHEBI:16556,"['Q11206', 'Q11201']",,0.11939954296216951
13,R-HSA-9694516,SARS-CoV-2 Infection,CHEBI:17659,['Q10472'],,0.11939954296216951
14,R-HSA-597592,Post-translational protein modification,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.19275870071848789
15,R-HSA-597592,Post-translational protein modification,CHEBI:4208,['Q9BV94'],,0.19275870071848789
16,R-HSA-597592,Post-translational protein modification,CHEBI:16680,['Q8IXQ9'],,0.19275870071848789
17,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"['Q8TE58', 'Q86TH1', 'Q10472']",,0.19275870071848789
18,R-HSA-196854,Metabolism of vitamins and cofactors,CHEBI:16027,['O95396'],,0.08347156707390443
19,R-HSA-1640170,Cell Cycle,CHEBI:16680,['Q9BTM1'],,0.18160265513726453
20,R-HSA-211859,Biological oxidations,CHEBI:34310,['Q9NYL5'],,0.07770453814342371
21,R-HSA-211859,Biological oxidations,CHEBI:16680,['P23526'],,0.07770453814342371
22,R-HSA-211859,Biological oxidations,CHEBI:16335,['P23526'],,0.07770453814342371
23,R-HSA-3781865,Diseases of glycosylation,CHEBI:16264,['P51654'],,0.01896356503829364
24,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,['Q9BTM1'],,0.01896356503829364
25,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16027,['O00268'],,0.17496551304276595
26,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16680,['Q9BTM1'],,0.17496551304276595
27,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"['P11940', 'Q96S44', 'Q9NQT4', 'Q14657']",,0.18160265513726453
28,R-HSA-8953854,Metabolism of RNA,CHEBI:17345,['Q9NQT4'],,0.18160265513726453
29,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['Q11206', 'Q11201']",,0.07352260713520299
30,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,['P51654'],,0.07352260713520299
31,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,['P51654'],,0.07352260713520299
32,R-HSA-4085001,Sialic acid metabolism,CHEBI:16556,"['Q11201', 'Q969X2', 'Q9UNP4', 'P61647', 'Q11206']",,0.11939954296216951
33,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q8WXK4', 'Q6ZMZ0', 'Q8WVD3', 'Q9Y508', 'Q9Y252', 'Q8N461', 'Q13042']",,0.06348623162248744
34,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P50150', 'P63092', 'P09683', 'Q5JWF2']",,0.08347156707390443
